data_structure,database,workload,threads,file_path,date_parsed,load_throughput_ops_sec,load_runtime_ms,load_insert_count,load_insert_avg_latency_us,load_insert_95p_latency_us,load_insert_99p_latency_us,run_throughput_ops_sec,run_runtime_ms,run_read_count,run_read_avg_latency_us,run_read_95p_latency_us,run_read_99p_latency_us,run_update_count,run_update_avg_latency_us,run_update_95p_latency_us,run_update_99p_latency_us,run_gc_count,run_gc_time_ms,run_gc_time_percentage,run_insert_count,run_insert_avg_latency_us,run_insert_95p_latency_us,run_insert_99p_latency_us,run_scan_count,run_scan_avg_latency_us,run_scan_95p_latency_us,run_scan_99p_latency_us
hashtable_inmemory,redis,write_heavy,16,benchmarks/results/raw/hashtable_inmemory/redis/write_heavy/redis_write_heavy_16threads.txt,2025-06-03T19:01:59.374492,40600.89321965083,2463.0,100000.0,386.67155,466.0,1100.0,65445.02617801047,1528.0,9830.0,172.8612410986775,236.0,276.0,50227.0,163.8293149103072,232.0,269.0,4.0,4.0,0.2617801047120419,39943.0,338.70092381643843,444.0,507.0,,,,
lsm_tree,rocksdb,balanced,1,benchmarks/results/raw/lsm_tree/rocksdb/balanced/rocksdb_balanced_1threads.txt,2025-06-03T19:01:59.384484,76804.91551459294,1302.0,100000.0,8.14897,12.0,21.0,65530.79947575361,1526.0,50006.0,3.7688877334719835,8.0,10.0,49994.0,11.723706844821379,18.0,27.0,4.0,4.0,0.2621231979030144,,,,,,,,
lsm_tree,rocksdb,balanced,4,benchmarks/results/raw/lsm_tree/rocksdb/balanced/rocksdb_balanced_4threads.txt,2025-06-03T19:01:59.384075,86580.08658008659,1155.0,100000.0,28.436,52.0,89.0,87489.06386701662,1143.0,49685.0,4.606943745597262,9.0,13.0,50315.0,31.79737652787439,65.0,123.0,5.0,5.0,0.4374453193350831,,,,,,,,
lsm_tree,rocksdb,balanced,8,benchmarks/results/raw/lsm_tree/rocksdb/balanced/rocksdb_balanced_8threads.txt,2025-06-03T19:01:59.385211,71787.50897343863,1393.0,100000.0,75.77562,120.0,177.0,85324.23208191126,1172.0,49825.0,5.823241344706473,11.0,25.0,50175.0,77.97642252117589,132.0,216.0,5.0,4.0,0.3412969283276451,,,,,,,,
lsm_tree,rocksdb,balanced,16,benchmarks/results/raw/lsm_tree/rocksdb/balanced/rocksdb_balanced_16threads.txt,2025-06-03T19:01:59.384813,79872.20447284346,1252.0,100000.0,132.77298,193.0,283.0,91827.36455463729,1089.0,50099.0,6.8062037166410505,14.0,37.0,49901.0,136.12586922105768,221.0,414.0,5.0,5.0,0.4591368227731864,,,,,,,,
lsm_tree,rocksdb,range_query,1,benchmarks/results/raw/lsm_tree/rocksdb/range_query/rocksdb_range_query_1threads.txt,2025-06-03T19:01:59.390217,107296.1373390558,9320.0,1000000.0,8.122004,12.0,19.0,15339.305436249846,65192.0,,,,,,,,,769.0,342.0,0.5246042459197447,49962.0,19.42280132901005,32.0,49.0,950038.0,65.96448563110107,127.0,151.0
lsm_tree,rocksdb,range_query,4,benchmarks/results/raw/lsm_tree/rocksdb/range_query/rocksdb_range_query_4threads.txt,2025-06-03T19:01:59.389871,137419.26618111858,7277.0,1000000.0,26.087027,39.0,64.0,50743.3906733648,19707.0,,,,,,,,,440.0,244.0,1.238138732430101,50136.0,31.89404818892612,32.0,123.0,949864.0,77.51691505310234,149.0,209.0
lsm_tree,rocksdb,range_query,8,benchmarks/results/raw/lsm_tree/rocksdb/range_query/rocksdb_range_query_8threads.txt,2025-06-03T19:01:59.389101,94232.94383716547,10612.0,1000000.0,79.878525,121.0,169.0,64308.68167202573,15550.0,,,,,,,,,388.0,230.0,1.4790996784565917,50083.0,61.868817762514226,69.0,432.0,949917.0,120.01721518827435,234.0,636.0
lsm_tree,rocksdb,range_query,16,benchmarks/results/raw/lsm_tree/rocksdb/range_query/rocksdb_range_query_16threads.txt,2025-06-03T19:01:59.389471,112536.57438667567,8886.0,1000000.0,133.218867,188.0,280.0,67330.99919202802,14852.0,,,,,,,,,388.0,242.0,1.629410180447078,50046.0,310.71032649962035,1705.0,4999.0,949954.0,217.92332365567174,539.0,2225.0
lsm_tree,rocksdb,read_heavy,1,benchmarks/results/raw/lsm_tree/rocksdb/read_heavy/rocksdb_read_heavy_1threads.txt,2025-06-03T19:01:59.388597,75414.78129713424,1326.0,100000.0,8.24814,12.0,23.0,83892.61744966442,1192.0,89888.0,3.5615321288714843,7.0,10.0,10112.0,14.035502373417721,22.0,36.0,3.0,2.0,0.16778523489932887,,,,,,,,
lsm_tree,rocksdb,read_heavy,4,benchmarks/results/raw/lsm_tree/rocksdb/read_heavy/rocksdb_read_heavy_4threads.txt,2025-06-03T19:01:59.388136,87336.24454148472,1145.0,100000.0,28.04442,51.0,87.0,118623.96204033215,843.0,90101.0,4.733898624876527,9.0,15.0,9899.0,27.429134255985453,52.0,106.0,3.0,3.0,0.3558718861209964,,,,,,,,
lsm_tree,rocksdb,read_heavy,8,benchmarks/results/raw/lsm_tree/rocksdb/read_heavy/rocksdb_read_heavy_8threads.txt,2025-06-03T19:01:59.387424,63897.76357827476,1565.0,100000.0,91.28541,154.0,441.0,119189.51132300358,839.0,90140.0,6.2903372531617485,13.0,34.0,9860.0,85.17606490872211,187.0,384.0,3.0,3.0,0.3575685339690107,,,,,,,,
lsm_tree,rocksdb,read_heavy,16,benchmarks/results/raw/lsm_tree/rocksdb/read_heavy/rocksdb_read_heavy_16threads.txt,2025-06-03T19:01:59.387847,82918.73963515754,1206.0,100000.0,127.80737,186.0,271.0,118764.84560570071,842.0,90014.0,6.60050658786411,14.0,35.0,9986.0,255.48658121369917,561.0,1200.0,3.0,3.0,0.35629453681710216,,,,,,,,
lsm_tree,rocksdb,write_heavy,1,benchmarks/results/raw/lsm_tree/rocksdb/write_heavy/rocksdb_write_heavy_1threads.txt,2025-06-03T19:01:59.386627,76804.91551459294,1302.0,100000.0,8.09247,12.0,21.0,57836.8999421631,1729.0,9961.0,4.094468426864773,9.0,12.0,50159.0,11.832373053689269,18.0,29.0,6.0,5.0,0.2891844997108155,39880.0,8.189894684052156,12.0,22.0,,,,
lsm_tree,rocksdb,write_heavy,4,benchmarks/results/raw/lsm_tree/rocksdb/write_heavy/rocksdb_write_heavy_4threads.txt,2025-06-03T19:01:59.385676,84602.36886632825,1182.0,100000.0,29.81246,59.0,97.0,72254.33526011561,1384.0,10006.0,4.84569258444933,10.0,14.0,50020.0,31.673990403838463,53.0,104.0,6.0,6.0,0.4335260115606936,39974.0,29.115450042527645,47.0,88.0,,,,
lsm_tree,rocksdb,write_heavy,8,benchmarks/results/raw/lsm_tree/rocksdb/write_heavy/rocksdb_write_heavy_8threads.txt,2025-06-03T19:01:59.386989,62656.64160401002,1596.0,100000.0,92.99533,127.0,230.0,66622.25183211193,1501.0,10192.0,6.043171114599686,12.0,20.0,49673.0,77.1153141545709,122.0,171.0,6.0,6.0,0.39973351099267157,40135.0,74.58193596611436,119.0,162.0,,,,
lsm_tree,rocksdb,write_heavy,16,benchmarks/results/raw/lsm_tree/rocksdb/write_heavy/rocksdb_write_heavy_16threads.txt,2025-06-03T19:01:59.386134,81566.06851549755,1226.0,100000.0,128.01279,185.0,258.0,74074.07407407407,1350.0,10017.0,7.258760107816712,14.0,39.0,49951.0,128.15315008708535,191.0,327.0,6.0,5.0,0.3703703703703704,40032.0,126.03354816147082,186.0,309.0,,,,
